M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   before VsiLib_Restore : M=1671.53mb, Malloc-M=453mb, Available-M=114496mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   after  VsiLib_Restore : M=1671.53mb, Malloc-M=453mb, Available-M=114496mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: after  LoadCircuitModel : M=1671.53mb, Malloc-M=453mb, Available-M=114496mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: before BuildNetlist : M=1671.53mb, Malloc-M=453mb, Available-M=114496mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   before NLDM Build : M=1671.53mb, Malloc-M=453mb, Available-M=114496mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   after  NLDM Build : M=1688mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0.04s W=(2026-04-30 04:00:28)
STATS:: |   before Cell properties : M=1688mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   after  Cell properties : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0.02s W=(2026-04-30 04:00:28)
STATS:: after  BuildNetlist : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0.09s W=(2026-04-30 04:00:28)
STATS:: before PropertyLoad: Formal Property : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: after  PropertyLoad: Formal Property : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: before PropertyLoad: Formal Property : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: after  PropertyLoad: Formal Property : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
